0.4234417344173442 [625, 1476] [0.0, [2, 3, 4, 5], [100, 120, 140, 160], 3]
0.42073170731707316 [621, 1476] [0.0, [2, 4, 4, 5], [100, 120, 140, 160], 3]
0.42276422764227645 [624, 1476] [0.0, [2, 5, 4, 5], [100, 120, 140, 160], 3]
0.4241192411924119 [626, 1476] [0.0, [2, 6, 4, 5], [100, 120, 140, 160], 3]
0.4275067750677507 [631, 1476] [0.0, [3, 3, 4, 5], [100, 120, 140, 160], 3]
0.4254742547425474 [628, 1476] [0.0, [3, 4, 4, 5], [100, 120, 140, 160], 3]
0.4254742547425474 [628, 1476] [0.0, [3, 5, 4, 5], [100, 120, 140, 160], 3]
0.4268292682926829 [630, 1476] [0.0, [3, 6, 4, 5], [100, 120, 140, 160], 3]
0.4281842818428184 [632, 1476] [0.0, [4, 3, 4, 5], [100, 120, 140, 160], 3]
0.4254742547425474 [628, 1476] [0.0, [4, 4, 4, 5], [100, 120, 140, 160], 3]
0.4281842818428184 [632, 1476] [0.0, [4, 5, 4, 5], [100, 120, 140, 160], 3]
0.42886178861788615 [633, 1476] [0.0, [4, 6, 4, 5], [100, 120, 140, 160], 3]
0.4261517615176152 [629, 1476] [0.0, [5, 3, 4, 5], [100, 120, 140, 160], 3]
0.4234417344173442 [625, 1476] [0.0, [5, 4, 4, 5], [100, 120, 140, 160], 3]
0.4254742547425474 [628, 1476] [0.0, [5, 5, 4, 5], [100, 120, 140, 160], 3]
0.4261517615176152 [629, 1476] [0.0, [5, 6, 4, 5], [100, 120, 140, 160], 3]
